chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,Audio File
0.3957864,0.47285366,0.4639262,0.4473857,0.64381605,0.52816224,0.43611273,0.35930884,0.38635936,0.49193603,0.3620741,0.38974854,0.25798672,0.3019346,0.26314893,0.23314895,0.31230247,0.2768566,0.24871874,0.2537366,0.2527543,0.3522474,0.22806019,0.24888395,(I Can't Get No) Satisfaction - Mono Version.mp3
0.510799,0.47871482,0.52529734,0.67375374,0.63563365,0.58746594,0.57097006,0.57195747,0.5549054,0.5483214,0.6013944,0.5760344,0.27899832,0.24468239,0.2256012,0.2761137,0.26546088,0.29125103,0.27027845,0.2549936,0.2509506,0.25824812,0.28470263,0.28119504,"1, 2 Step (Supersonic).mp3"
0.449577,0.37148687,0.37838408,0.39291626,0.4213555,0.3634557,0.38672733,0.41608804,0.5359103,0.6505622,0.50959474,0.52700824,0.3053337,0.2452096,0.29852554,0.2659546,0.29988086,0.27590552,0.2651666,0.29738042,0.2915164,0.32757464,0.2780492,0.3273908,1-800-hot-n-fun - LE SSERAFIM.mp3
0.45568314,0.49743772,0.42556965,0.4552782,0.5442084,0.44236067,0.45956144,0.4407525,0.50686353,0.5372385,0.46864387,0.52471644,0.2867847,0.31520006,0.29653943,0.28400248,0.3258253,0.2877248,0.30598372,0.30126244,0.3065836,0.32229224,0.27199727,0.32180998,1900's.mp3
0.27669868,0.28092042,0.50737125,0.647227,0.45275584,0.38355196,0.3339255,0.45146844,0.50237453,0.44379503,0.40125868,0.25660375,0.22669977,0.20366883,0.29596967,0.3188874,0.22261105,0.30417338,0.23423022,0.29249227,0.3510436,0.2758528,0.29289153,0.19605264,1979 - Remastered 2012.mp3
0.3712898,0.46610564,0.3055494,0.37140864,0.46815506,0.34812087,0.27646983,0.332122,0.5789876,0.4853701,0.36012197,0.40256208,0.28516442,0.34201446,0.24079435,0.2927394,0.33654022,0.28781947,0.25153336,0.26605147,0.33672997,0.31760162,0.28495106,0.33267522,2 Things.mp3
0.6008261,0.35133377,0.3233196,0.3147047,0.40718234,0.38470265,0.36671168,0.47245434,0.38226187,0.40761483,0.33401817,0.47782645,0.34567773,0.21966292,0.28901684,0.2518997,0.34985498,0.3375387,0.27703393,0.34360534,0.297696,0.35487545,0.26787978,0.30193064,360 - Charlie xcx.mp3
0.5870079,0.42919633,0.37989753,0.39205334,0.39836782,0.40859845,0.37836844,0.46268,0.40285277,0.36843932,0.42645732,0.45885596,0.3475676,0.2932573,0.2962824,0.2983627,0.29336205,0.32071102,0.27044624,0.30948913,0.3043041,0.2846444,0.32082644,0.2912634,"3D (feat. Jack Harlow) - Jung Kook, Jack Harlow.mp3"
0.45444283,0.2784318,0.31323776,0.24972682,0.43511882,0.51785517,0.29098004,0.37230107,0.34482172,0.45889398,0.3228789,0.33247057,0.3440083,0.22140495,0.3008678,0.21091674,0.31699556,0.3411707,0.20481901,0.32564884,0.25204957,0.3423984,0.2637267,0.2654245,44 (Forget Forever) - WOOSUNG.mp3
0.37281686,0.45114353,0.4812739,0.38488406,0.4373921,0.361767,0.4501698,0.3411011,0.38278413,0.50119406,0.40914372,0.5109132,0.25337595,0.29112694,0.32118106,0.2561254,0.3164184,0.25478497,0.3147705,0.25219938,0.25985488,0.3223907,0.24528065,0.32749915,7HEAVEN - PURPLE KISS.mp3
