Song Name,mfccs_mean_0,mfccs_std_0,mfccs_mean_1,mfccs_std_1,mfccs_mean_2,mfccs_std_2,mfccs_mean_3,mfccs_std_3,mfccs_mean_4,mfccs_std_4,mfccs_mean_5,mfccs_std_5,mfccs_mean_6,mfccs_std_6,mfccs_mean_7,mfccs_std_7,mfccs_mean_8,mfccs_std_8,mfccs_mean_9,mfccs_std_9,mfccs_mean_10,mfccs_std_10,mfccs_mean_11,mfccs_std_11,mfccs_mean_12,mfccs_std_12,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
(I Can't Get No) Satisfaction - Mono Version,-24.432459,74.122246,85.89074,19.380487,-43.266342,15.654043,47.12926,11.42054,-4.81625,8.666858,13.348276,6.8257914,4.2468357,7.1556706,13.036511,6.994347,-4.738242,7.2453394,9.86534,6.998995,-4.7883086,6.0868254,3.1240845,5.5827246,-4.2786536,5.5202103,0.35897928,0.3637123,0.4890189,0.43216544,0.5565731,0.4316195,0.46444303,0.3826942,0.5080125,0.6251336,0.38455653,0.48229682,0.25329837,0.24192952,0.2815037,0.23244445,0.29316485,0.23643605,0.25304344,0.24001588,0.2618466,0.29492015,0.19776298,0.2787561,Out Of Our Heads,The Rolling Stones,1965-07-30,222813,76,0.0383,0.723,0.863,0.0317,0.128,-7.89,0.0338,136.302,0.931,4,2,1,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,1965
...Baby One More Time,-67.302,99.12173,78.93029,33.10516,-3.4262776,23.040184,13.052613,18.157341,-2.951625,14.21568,6.2648654,14.830044,-2.6536496,11.6321125,-2.1071699,11.625077,-2.0054739,11.145717,1.5789522,9.837446,-7.558112,9.211117,1.4977312,8.049722,-2.7783015,7.885774,0.49659047,0.36399963,0.45744467,0.42368692,0.2806769,0.30397788,0.34795964,0.5008496,0.3139623,0.27423552,0.39223614,0.3933885,0.35279056,0.26093575,0.2998896,0.30676427,0.23636842,0.2868439,0.26638082,0.33086005,0.2614055,0.23832792,0.31738418,0.27370924,...Baby One More Time (Digital Deluxe Version),Britney Spears,1999-01-12,211066,81,0.202,0.759,0.699,0.000131,0.443,-5.745,0.0307,92.96,0.907,4,0,0,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,1999
1 On 1 - Dubscribe Remix,39.19929,119.315056,69.571434,36.065292,-14.421921,27.218529,10.206625,16.949871,4.8078837,12.5078335,7.4901857,11.136203,3.1259553,11.92193,10.814452,11.080213,-2.3219342,9.755829,12.984372,9.953379,0.15842183,8.374556,5.0212026,8.733118,2.7221959,8.092235,0.54091674,0.47928032,0.50053453,0.57636064,0.64961594,0.65129095,0.5829987,0.54592925,0.54609853,0.5472986,0.5373438,0.53376937,0.25892717,0.2446052,0.25481203,0.27039787,0.26763794,0.26427752,0.26394442,0.26765996,0.26861554,0.27356312,0.26435682,0.24826324,Lost Lands 2019 Compilation,Excision,2019-12-06,208000,16,0.00224,0.493,0.974,4.41e-06,0.585,-0.177,0.0842,75.02,0.31,4,9,1,spotify:track:4BOU7r7rOXjkX1BEVf8ZVa,2019
10 Freaky Girls (with 21 Savage),-169.13326,96.59636,125.63031,43.476746,7.6569877,33.494232,16.599009,20.562874,12.553646,19.237865,-3.2583313,16.86444,-6.572033,13.626516,2.7723315,15.738536,-13.579206,14.275521,2.7663815,13.078726,-2.0318165,13.3687,-3.394038,10.66257,2.9534545,11.88584,0.39474112,0.50981295,0.45936424,0.42894435,0.45232973,0.45483136,0.50644463,0.3954529,0.4472526,0.4226993,0.3809062,0.43183842,0.26514512,0.3132921,0.31503338,0.29576838,0.31849566,0.3148672,0.32640612,0.28853658,0.32040426,0.31179255,0.24871172,0.3078587,NOT ALL HEROES WEAR CAPES (Deluxe),Metro Boomin,2018-11-06,208293,73,0.59,0.797,0.353,0.0,0.102,-9.931,0.369,87.997,0.0731,4,6,0,spotify:track:0AluA5RNsa4Cx6XRhf2hWZ,2018
100 Ways,-92.69417,96.835175,103.58713,39.169704,15.759145,23.936386,12.531462,16.949621,7.3352413,14.325512,8.797131,11.706844,-3.972942,15.547791,7.962814,11.565876,1.5686853,10.01002,1.0365766,10.745807,2.2284672,9.541339,4.3657255,9.446851,-0.25456747,9.226121,0.44304156,0.31829965,0.34060803,0.28302985,0.3898148,0.30047816,0.29245988,0.35296237,0.38178203,0.46322343,0.3618947,0.4390957,0.3330795,0.2654474,0.32965755,0.2451605,0.34810337,0.2800586,0.28135085,0.3192075,0.29265717,0.37242907,0.26745948,0.3118294,100 Ways,Jackson Wang,2020-03-20,168626,6,0.325,0.801,0.783,0.0,0.285,-7.08,0.241,109.955,0.613,4,7,1,spotify:track:4mQMvcRtQou5yI8mjuJ1lf,2020
1942 (feat. Yo Gotti & YBN Nahmir),-66.32593,100.40335,76.554245,36.546764,17.703108,34.716564,24.115696,21.527924,9.007591,19.232662,10.308461,14.81785,-2.269135,15.619279,8.350235,12.943112,1.3449165,11.389671,6.248276,12.226354,3.5327044,10.857497,12.52632,11.207524,1.678476,8.583449,0.5205574,0.55842084,0.62829626,0.51990366,0.49403316,0.45100856,0.49996048,0.4952601,0.40108457,0.38656867,0.43031597,0.49279496,0.3124781,0.25107092,0.29746446,0.27776527,0.28621724,0.27372906,0.2903661,0.3020371,0.2759668,0.2681638,0.25992146,0.30076796,1942 (feat. Yo Gotti & YBN Nahmir),G-Eazy,2018-04-13,213080,54,0.0152,0.817,0.646,0.0,0.125,-5.12,0.249,162.898,0.835,4,4,0,spotify:track:794QVQtFNy7hvtjQP1keQd,2018
1979 - Remastered 2012,-97.98177,114.72384,86.33099,35.247025,18.212856,20.298666,36.963562,14.465947,8.40154,11.5453615,11.092553,9.310579,2.394548,9.658402,5.0043745,7.567308,0.21332249,7.5139704,4.975647,7.1288795,-2.4738023,6.9986286,0.46512046,6.912835,-7.4281645,6.6513615,0.2755303,0.27953842,0.506462,0.64700675,0.45199808,0.38244957,0.3326906,0.45041606,0.5018207,0.44310534,0.40036106,0.25547588,0.22682023,0.20367545,0.29630026,0.3192863,0.22276379,0.3047029,0.23451433,0.2928645,0.3515836,0.27586088,0.29302084,0.19598374,Mellon Collie And The Infinite Sadness (Deluxe Edition),The Smashing Pumpkins,1995,266200,77,0.0163,0.767,0.787,0.583,0.0513,-9.897,0.0331,126.879,0.964,4,3,1,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,1995
2 soon,-86.08248,91.01937,92.1727,39.604683,28.163507,26.360744,14.497379,16.756838,10.386829,15.806331,8.681226,13.74455,-4.980237,11.951651,9.916889,12.413359,-4.3590703,10.994232,13.286911,12.122645,-2.511961,9.706554,-4.1097846,10.438568,-9.355301,11.537756,0.31633827,0.348932,0.24718751,0.3752977,0.53852427,0.38163814,0.40538627,0.30068696,0.4150517,0.45753208,0.3494989,0.44100595,0.26294026,0.32388607,0.21042264,0.26970568,0.35647362,0.25653446,0.3462201,0.2434545,0.28792703,0.3446418,0.25317746,0.35040244,2 soon,keshi,2018-08-21,206511,67,0.146,0.516,0.663,0.0,0.322,-6.688,0.0377,174.025,0.146,4,6,0,spotify:track:5SlU0Yhi51jobhEiGE4xDv,2018
2 Things,-55.320137,84.8685,97.954414,45.954895,2.8058944,31.157755,8.866991,21.413378,-2.3951523,19.78159,4.043797,19.989801,-0.18279064,12.907521,4.4834332,14.743873,-6.64286,13.9474745,8.732455,11.863225,-3.084805,10.531982,3.302073,9.248773,-1.782712,9.506803,0.37046283,0.46491176,0.30454218,0.37085927,0.4681227,0.3474766,0.27543494,0.33129573,0.5791158,0.48539686,0.3596259,0.40173277,0.28526112,0.3416305,0.24021398,0.292901,0.3367987,0.28755373,0.25134832,0.26595613,0.33685276,0.3179273,0.28514186,0.3329108,2 Things,Don Diablo,2022-09-30,191250,42,0.0702,0.685,0.813,0.0327,0.218,-5.163,0.0387,127.994,0.165,4,9,1,spotify:track:23YAweZPLgWqOTJdpvSv1O,2022
2020,-135.1253,137.68388,110.45734,55.98486,15.301519,42.41115,32.510727,21.361244,12.904259,17.348927,11.381793,12.824421,5.0242157,10.467625,7.836856,10.300221,3.6952822,9.5336,7.043149,8.204373,2.9270315,8.034134,3.7792435,7.5493565,1.9006411,6.6504207,0.5426213,0.4929845,0.42991465,0.43692487,0.4926788,0.66842335,0.61977,0.49542853,0.48708275,0.5015756,0.4403434,0.44819605,0.34512535,0.30200484,0.26481032,0.2728504,0.26099542,0.30927894,0.28722474,0.2591007,0.2768324,0.29122463,0.28251022,0.30341312,The Remedy Vol. 2,Dr. Fresch,2020-02-19,192000,0,0.0849,0.829,0.607,0.334,0.0969,-6.109,0.0912,100.024,0.121,4,0,1,spotify:track:3xFWiDR3gVECOoLn7Fb32L,2020
