File,mfccs_mean_0,mfccs_std_0,mfccs_mean_1,mfccs_std_1,mfccs_mean_2,mfccs_std_2,mfccs_mean_3,mfccs_std_3,mfccs_mean_4,mfccs_std_4,mfccs_mean_5,mfccs_std_5,mfccs_mean_6,mfccs_std_6,mfccs_mean_7,mfccs_std_7,mfccs_mean_8,mfccs_std_8,mfccs_mean_9,mfccs_std_9,mfccs_mean_10,mfccs_std_10,mfccs_mean_11,mfccs_std_11,mfccs_mean_12,mfccs_std_12
(I Can't Get No) Satisfaction - Mono Version.mp3,-51.982513,74.37366,87.70902,21.803589,-22.640398,19.923887,43.77255,11.643474,5.613951,9.510591,13.481768,7.3678727,-7.271657,7.3487144,6.579128,6.892102,-3.897322,6.8106084,1.0025115,6.432187,-7.296565,6.057853,4.361311,6.4854836,-4.240124,5.8786874
"1, 2 Step (Supersonic).mp3",-70.88787,103.32006,50.942764,37.680164,0.50020635,30.17468,16.389479,18.9873,9.655016,17.169434,15.287349,14.836874,5.7668085,16.551374,13.888129,14.597467,2.7353065,13.631482,11.7058325,10.333787,5.280893,9.121723,8.641929,8.730838,0.52571046,8.994335
1-800-hot-n-fun - LE SSERAFIM.mp3,-17.840174,113.05777,70.29867,37.44398,5.8306565,27.256266,13.240396,20.098581,5.2891293,14.032196,4.102553,16.371098,1.4813299,11.694056,3.9590771,11.237933,-0.12819932,10.587938,1.9608533,10.257182,-6.0650077,9.487222,-1.8875871,8.827803,-4.5799637,8.171921
1900's.mp3,-100.55086,92.93614,96.11697,39.364403,0.4908835,30.99115,19.784182,20.729214,3.7969134,17.49579,6.2269897,16.416756,5.6187544,13.572564,0.9061526,12.902674,2.6811633,11.518369,2.557611,10.9567,-1.8209412,10.828647,-1.2948285,11.172719,-0.9949414,9.899374
1979 - Remastered 2012.mp3,-93.47669,115.239525,85.90477,35.26054,18.601694,20.323528,36.808125,14.474807,8.446803,11.488172,11.042938,9.294479,2.4729373,9.586357,5.026084,7.5387526,0.18895143,7.4681196,4.9358053,7.0488343,-2.4718375,6.9389687,0.53644353,6.813808,-7.3739686,6.525193
2 Things.mp3,-50.563114,84.940346,98.01756,45.86921,3.091794,31.313442,8.478837,21.476896,-2.3655818,19.807318,4.258492,19.919437,0.14367382,12.716305,4.6385083,14.500849,-6.4566197,13.72323,8.832433,11.654698,-3.057977,10.254855,3.3944201,9.035644,-1.6348281,9.222418
360 - Charlie xcx.mp3,-109.88515,108.58483,112.37034,47.72319,9.776009,28.585773,15.219908,22.753174,2.7847908,15.348738,2.871337,14.879203,5.039269,11.659874,-4.6752663,12.440395,0.827688,10.0921755,-1.4382111,10.479291,-6.5804977,8.935094,-4.2635393,9.475035,-5.9564047,8.979267
"3D (feat. Jack Harlow) - Jung Kook, Jack Harlow.mp3",-69.34607,133.20251,57.167526,38.141224,23.11823,25.639912,22.97995,20.55991,14.825717,16.2813,9.217316,14.2499895,3.1277456,12.599325,7.864333,11.932099,-0.5738955,11.217003,5.1734276,11.405715,-0.89873636,9.980274,1.3202391,9.025438,-0.8835045,8.629302
44 (Forget Forever) - WOOSUNG.mp3,-99.505974,151.2245,87.846436,37.510006,19.930708,35.54819,10.296543,14.534639,3.8375301,14.728266,6.6015735,12.532896,-4.7211275,11.089283,1.3940423,9.293829,-2.865869,9.071801,4.3325033,8.644804,-0.48009282,8.004993,4.1939116,7.485692,-2.9656591,6.881523
7HEAVEN - PURPLE KISS.mp3,19.334923,84.09699,57.007362,24.006096,0.038251583,19.613022,16.325573,16.978283,8.895419,11.691802,5.422985,12.792915,3.5298748,10.440497,7.782987,10.640328,4.2748523,9.620603,8.135808,9.571961,-3.3179395,9.919564,7.3103676,9.075084,1.7333235,8.144329
A Red Flag.mp3,-94.77999,100.7333,131.08636,39.991936,0.60839343,26.891752,11.668257,19.058285,3.9293144,14.785851,2.3516817,14.328374,1.0585978,12.064596,-0.38857093,11.401935,-5.207734,9.728298,2.7122285,11.484992,-7.502887,10.790669,1.2458779,9.5891075,-3.1575322,9.967742
All Along the Watchtower.mp3,-36.172775,64.24511,72.4848,26.740856,-6.4681287,17.693478,32.138176,13.528149,17.696108,11.764745,11.010766,9.198462,-0.071105294,8.478656,7.320896,9.85779,-7.0232816,10.188752,8.687494,8.283544,-4.2257843,8.289056,1.9284192,7.5295234,0.2889447,8.177552
All I Ever Asked.mp3,-101.84903,109.87117,110.24702,39.68984,27.750116,22.127907,18.585527,15.58273,10.772102,12.396982,15.097098,12.460287,2.998348,10.4219,3.3781433,10.110047,-2.5377486,9.0018835,5.6203165,9.555469,-6.040181,9.778561,2.7495503,9.526207,-3.5849442,9.235099
