name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,genre
Skinny Loser,Skinny Loser,Sub Urban,9/20/2024,208658,55,0.301,0.603,0.881,0.000191,0.386,-7.987,0.0538,93.012,0.4,4,11,1,spotify:track:25f23uoQ4S8VCQR4KQvvOh,2024,pop
Do It Like That,The Name Chapter: FREEFALL,TOMORROW X TOGETHER,10/13/2023,145065,63,0.0103,0.776,0.92,0,0.325,-3.246,0.0548,119.989,0.842,4,5,0,spotify:track:0XM1XnOYv8BkFPFVCU8ZjX,2023,pop
LOOK SO PRETTY,LOOK SO PRETTY,Gun Boi Kaz,9/27/2024,153600,37,0.232,0.724,0.501,0,0.0899,-12.024,0.0653,125.04,0.542,4,0,1,spotify:track:2DhwBiwPbQXoFIjNzeDNXg,2024,pop
glhf<3,glhf<3,MICO,7/19/2024,176326,51,0.0169,0.722,0.813,0,0.0992,-6.906,0.0609,147.009,0.674,4,0,1,spotify:track:55SQgo2TTd0cjiWGzY2Q9A,2024,pop
MADE UP YOUR MIND,MADE UP YOUR MIND,Gun Boi Kaz,8/23/2024,164307,42,0.125,0.812,0.353,0.000139,0.106,-12.023,0.0775,129.956,0.953,4,9,1,spotify:track:2kTQ8rRufN5BjtfVh2O7VU,2024,pop
Tripping Over Air,Tripping Over Air,Aidan Bissett,9/9/2022,182382,61,0.00182,0.627,0.791,0,0.3,-4.912,0.0346,116.994,0.523,4,11,1,spotify:track:7mzPAftljnsFmU6131Pqcd,2022,pop
do u really?,to love in the 21st century,Lyn Lapid,6/23/2023,161120,52,0.261,0.615,0.569,0.000124,0.112,-6.725,0.0614,87.027,0.587,4,10,1,spotify:track:2vjX1VkntJPIQkqwbJQvoa,2023,pop
What's The Time Where You Are?,Something To Give Each Other,Troye Sivan,10/13/2023,203669,62,0.0265,0.722,0.815,2.71E-06,0.167,-6.677,0.0655,111.93,0.341,4,7,1,spotify:track:0sYM4OmgrRYaHq6DV7obq1,2023,pop
Boyfriend,Boyfriend,Dove Cameron,2/11/2022,153000,72,0.232,0.345,0.612,0,0.194,-6.543,0.0608,179.773,0.232,3,7,0,spotify:track:59CfNbkERJ3NoTXDvoURjj,2022,pop
Ghost Town,Ghost Town,New Rules,10/12/2023,148000,29,0.192,0.661,0.8,0,0.207,-3.82,0.0537,134.984,0.627,4,1,0,spotify:track:1N9Ovp3h6SYLvNbDHKcSDH,2023,pop
Idontwannaknowyou!,Idontwannaknowyou!,MICO,8/23/2024,160879,50,0.0938,0.573,0.684,0,0.109,-6.717,0.0349,91.111,0.517,4,11,1,spotify:track:2S3EZpZPm41tA1qKh9HL7v,2024,pop
HEAD OVER HEELS,HEAD OVER HEELS,Gun Boi Kaz,5/24/2024,189352,52,0.493,0.526,0.505,0,0.446,-12.479,0.0517,169.932,0.608,4,10,0,spotify:track:1ap5NcWZLaRjlCZcuxo9jA,2024,pop
1-800-hot-n-fun,CRAZY,LE SSERAFIM,8/30/2024,173431,77,0.0786,0.752,0.892,0,0.158,-3.1,0.108,135.953,0.88,4,2,1,spotify:track:7vjfnsnDXZGK4PSq54ISjc,2024,pop
It's Alright,SAD SONG,P1Harmony,9/20/2024,198453,60,0.0702,0.594,0.876,0,0.27,-2.613,0.106,180.047,0.79,4,11,0,spotify:track:7f3hLudPCsBzq3FiMx1Kui,2024,pop
Quarter Life,minisode 3: TOMORROW,TOMORROW X TOGETHER,4/1/2024,149346,62,0.0494,0.375,0.786,0,0.0836,-5.076,0.0635,89.341,0.537,4,5,0,spotify:track:0Dv0R4tfRj5jy8e8CF3JB9,2024,pop
Spell,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,4/29/2024,197613,67,0.663,0.828,0.62,0.000278,0.0989,-5.259,0.0497,107.974,0.514,4,9,0,spotify:track:2L6QRccSHAsdZDc9gz6Bfi,2024,pop
T4ke,Cabin Fever,PURPLE KISS,2/15/2023,171373,37,0.231,0.591,0.636,0,0.0957,-3.39,0.0481,179.953,0.226,3,4,0,spotify:track:3hDB8HsTgd3TePDsEulE97,2023,pop
Crush,SEVENTEEN 9th Mini Album 'Attacca',SEVENTEEN,10/22/2021,169560,57,0.13,0.847,0.791,0,0.205,-4.258,0.039,109.968,0.879,4,0,1,spotify:track:68kHuoBxtNcWZWxBu1V007,2021,pop
Feelin' Like,IN:VITE U,PENTAGON,1/24/2022,167213,45,0.0504,0.868,0.682,0,0.0665,-4.887,0.353,111.973,0.861,4,11,0,spotify:track:5Wll1i0Y8GGjyePcP83L3x,2022,pop
Allergy,I feel,(G)I-DLE,5/15/2023,162786,62,0.0524,0.591,0.92,0,0.0467,-3.699,0.185,165.087,0.545,4,5,1,spotify:track:38MKW2tQHtyO8djIOKlEFF,2023,pop
Fall In Love Again,Fall In Love Again,P1Harmony,11/8/2023,208965,60,0.0792,0.82,0.832,0,0.0806,-2.89,0.0646,141.975,0.808,4,8,1,spotify:track:7e2t41hCiR0sV4Lgv555v3,2023,pop
Fire in the belly,UNFORGIVEN,LE SSERAFIM,5/1/2023,198232,58,0.0106,0.716,0.779,0,0.0266,-3.735,0.0589,119.932,0.442,4,9,0,spotify:track:05RlBHEZg1RmL9DnPgv9Qq,2023,pop
_WORLD,SEVENTEEN 4th Album Repackage 'SECTOR 17',SEVENTEEN,7/18/2022,178453,65,0.312,0.709,0.809,0,0.0899,-3.198,0.0541,111.01,0.788,4,2,0,spotify:track:3QwiidVHfeE9y5jl4n2MTC,2022,pop
"Farewell, Neverland",The Name Chapter: TEMPTATION,TOMORROW X TOGETHER,1/27/2023,180676,62,0.357,0.615,0.645,0,0.113,-5.87,0.134,167.952,0.787,4,1,0,spotify:track:43mnNatwMMydJ4CxMdQVnJ,2023,pop
