Song Name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,mfccs_mean_0,mfccs_std_0,mfccs_mean_1,mfccs_std_1,mfccs_mean_2,mfccs_std_2,mfccs_mean_3,mfccs_std_3,mfccs_mean_4,mfccs_std_4,mfccs_mean_5,mfccs_std_5,mfccs_mean_6,mfccs_std_6,mfccs_mean_7,mfccs_std_7,mfccs_mean_8,mfccs_std_8,mfccs_mean_9,mfccs_std_9,mfccs_mean_10,mfccs_std_10,mfccs_mean_11,mfccs_std_11,mfccs_mean_12,mfccs_std_12
360,BRAT,Charli xcx,6/7/2024,133805,85,0.646,0.857,0.62,0.244,0.0934,-8.13,0.0472,120.042,0.796,4,0,1,spotify:track:4w2GLmK2wnioVnb5CPQeex,2024,0.6008261,0.35133377,0.3233196,0.3147047,0.40718234,0.38470265,0.36671168,0.47245434,0.38226187,0.40761483,0.33401817,0.47782645,0.34567773,0.21966292,0.28901684,0.2518997,0.34985498,0.3375387,0.27703393,0.34360534,0.297696,0.35487545,0.26787978,0.30193064,-109.88515,108.58483,112.37034,47.72319,9.776009,28.585773,15.219908,22.753174,2.7847908,15.348738,2.871337,14.879203,5.039269,11.659874,-4.6752663,12.440395,0.827688,10.0921755,-1.4382111,10.479291,-6.5804977,8.935094,-4.2635393,9.475035,-5.9564047,8.979267
(I Can't Get No) Satisfaction - Mono Version,Out Of Our Heads,The Rolling Stones,7/30/1965,222813,77,0.0383,0.723,0.863,0.0317,0.128,-7.89,0.0338,136.302,0.931,4,2,1,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,1965,0.3957864,0.47285366,0.4639262,0.4473857,0.64381605,0.52816224,0.43611273,0.35930884,0.38635936,0.49193603,0.3620741,0.38974854,0.25798672,0.3019346,0.26314893,0.23314895,0.31230247,0.2768566,0.24871874,0.2537366,0.2527543,0.3522474,0.22806019,0.24888395,-51.982513,74.37366,87.70902,21.803589,-22.640398,19.923887,43.77255,11.643474,5.613951,9.510591,13.481768,7.3678727,-7.271657,7.3487144,6.579128,6.892102,-3.897322,6.8106084,1.0025115,6.432187,-7.296565,6.057853,4.361311,6.4854836,-4.240124,5.8786874
_WORLD,SEVENTEEN 4th Album Repackage 'SECTOR 17',SEVENTEEN,7/18/2022,178453,65,0.312,0.709,0.809,0.0,0.0899,-3.198,0.0541,111.01,0.788,4,2,0,spotify:track:3QwiidVHfeE9y5jl4n2MTC,2022,0.38293818,0.30309147,0.4387825,0.29984453,0.33608925,0.41136768,0.29064685,0.43256754,0.32093307,0.410377,0.2544202,0.26009423,0.31999412,0.23485178,0.34904236,0.25483844,0.27877027,0.34983164,0.22387217,0.36532024,0.24934089,0.33573526,0.23447692,0.23022261,-2.3116,85.91398,84.09651,25.76146,7.3741646,16.86376,8.421481,13.264266,2.5163674,10.649622,8.231516,10.373332,-0.3015482,9.195534,1.3136119,8.47307,-2.7223737,7.882784,7.467195,8.309259,-0.5920282,6.796767,1.8111541,6.7735615,-1.6796565,6.439545
"1, 2 Step (Supersonic)","1, 2 Step (Supersonic)",SIDEPIECE,6/3/2022,176640,41,0.000747,0.856,0.851,0.641,0.0585,-6.006,0.0699,124.99,0.654,4,1,1,spotify:track:4ndFwD5xjLgJxGExGRoQYd,2022,0.510799,0.47871482,0.52529734,0.67375374,0.63563365,0.58746594,0.57097006,0.57195747,0.5549054,0.5483214,0.6013944,0.5760344,0.27899832,0.24468239,0.2256012,0.2761137,0.26546088,0.29125103,0.27027845,0.2549936,0.2509506,0.25824812,0.28470263,0.28119504,-70.88787,103.32006,50.942764,37.680164,0.50020635,30.17468,16.389479,18.9873,9.655016,17.169434,15.287349,14.836874,5.7668085,16.551374,13.888129,14.597467,2.7353065,13.631482,11.7058325,10.333787,5.280893,9.121723,8.641929,8.730838,0.52571046,8.994335
1-800-hot-n-fun,CRAZY,LE SSERAFIM,8/30/2024,173431,77,0.0786,0.752,0.892,0.0,0.158,-3.1,0.108,135.953,0.88,4,2,1,spotify:track:7vjfnsnDXZGK4PSq54ISjc,2024,0.449577,0.37148687,0.37838408,0.39291626,0.4213555,0.3634557,0.38672733,0.41608804,0.5359103,0.6505622,0.50959474,0.52700824,0.3053337,0.2452096,0.29852554,0.2659546,0.29988086,0.27590552,0.2651666,0.29738042,0.2915164,0.32757464,0.2780492,0.3273908,-17.840174,113.05777,70.29867,37.44398,5.8306565,27.256266,13.240396,20.098581,5.2891293,14.032196,4.102553,16.371098,1.4813299,11.694056,3.9590771,11.237933,-0.12819932,10.587938,1.9608533,10.257182,-6.0650077,9.487222,-1.8875871,8.827803,-4.5799637,8.171921
1900's,JAGUAR II : Deluxe,Victoria Monét,10/4/2024,149195,57,0.09,0.898,0.739,0.0298,0.0557,-7.472,0.186,111.004,0.64,4,9,1,spotify:track:79XRUITVajhW5Snn7WF3YQ,2024,0.45568314,0.49743772,0.42556965,0.4552782,0.5442084,0.44236067,0.45956144,0.4407525,0.50686353,0.5372385,0.46864387,0.52471644,0.2867847,0.31520006,0.29653943,0.28400248,0.3258253,0.2877248,0.30598372,0.30126244,0.3065836,0.32229224,0.27199727,0.32180998,-100.55086,92.93614,96.11697,39.364403,0.4908835,30.99115,19.784182,20.729214,3.7969134,17.49579,6.2269897,16.416756,5.6187544,13.572564,0.9061526,12.902674,2.6811633,11.518369,2.557611,10.9567,-1.8209412,10.828647,-1.2948285,11.172719,-0.9949414,9.899374
1942 (feat. Yo Gotti & YBN Nahmir),1942 (feat. Yo Gotti & YBN Nahmir),G-Eazy,4/13/2018,213080,54,0.0152,0.817,0.646,0.0,0.125,-5.12,0.249,162.898,0.835,4,4,0,spotify:track:794QVQtFNy7hvtjQP1keQd,2018,0.51997304,0.55846846,0.624692,0.5145386,0.49171433,0.44816846,0.4993842,0.49530458,0.40170023,0.38877642,0.43404356,0.49333403,0.3116451,0.25152412,0.29860005,0.27618048,0.2862806,0.27213636,0.28924337,0.3024431,0.27666056,0.2689237,0.2631144,0.3023199,-75.1506,97.08024,77.01544,36.198635,17.958479,34.59798,24.20097,21.182957,9.022482,18.90966,10.322491,14.59716,-2.0526261,15.5340395,8.345377,12.826991,1.5370331,11.283157,6.325719,12.106849,3.5055404,10.703004,12.565967,11.078208,1.8285242,8.478106
1979 - Remastered 2012,Mellon Collie And The Infinite Sadness (Deluxe Edition),The Smashing Pumpkins,1995,266200,77,0.0163,0.767,0.787,0.583,0.0513,-9.897,0.0331,126.879,0.964,4,3,1,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,1995,0.27669868,0.28092042,0.50737125,0.647227,0.45275584,0.38355196,0.3339255,0.45146844,0.50237453,0.44379503,0.40125868,0.25660375,0.22669977,0.20366883,0.29596967,0.3188874,0.22261105,0.30417338,0.23423022,0.29249227,0.3510436,0.2758528,0.29289153,0.19605264,-93.47669,115.239525,85.90477,35.26054,18.601694,20.323528,36.808125,14.474807,8.446803,11.488172,11.042938,9.294479,2.4729373,9.586357,5.026084,7.5387526,0.18895143,7.4681196,4.9358053,7.0488343,-2.4718375,6.9389687,0.53644353,6.813808,-7.3739686,6.525193
2 Things,2 Things,Don Diablo,9/30/2022,191250,43,0.0702,0.685,0.813,0.0327,0.218,-5.163,0.0387,127.994,0.165,4,9,1,spotify:track:23YAweZPLgWqOTJdpvSv1O,2022,0.3712898,0.46610564,0.3055494,0.37140864,0.46815506,0.34812087,0.27646983,0.332122,0.5789876,0.4853701,0.36012197,0.40256208,0.28516442,0.34201446,0.24079435,0.2927394,0.33654022,0.28781947,0.25153336,0.26605147,0.33672997,0.31760162,0.28495106,0.33267522,-50.563114,84.940346,98.01756,45.86921,3.091794,31.313442,8.478837,21.476896,-2.3655818,19.807318,4.258492,19.919437,0.14367382,12.716305,4.6385083,14.500849,-6.4566197,13.72323,8.832433,11.654698,-3.057977,10.254855,3.3944201,9.035644,-1.6348281,9.222418
21 Guns,Greatest Hits: God's Favorite Band,Green Day,11/17/2017,322040,39,0.048,0.26,0.719,0.0,0.454,-4.765,0.0364,159.072,0.419,4,5,1,spotify:track:4pu474fFUC7hgBBIf2W0S8,2017,0.44911265,0.31709155,0.40135345,0.28198487,0.40701887,0.48493943,0.3179772,0.39785695,0.28711185,0.3798188,0.32200104,0.32785842,0.34667358,0.21878302,0.3342167,0.23529333,0.3000451,0.35753283,0.23011234,0.34689617,0.23437503,0.31195086,0.29610947,0.2447279,-90.880135,132.24504,86.78483,30.771465,-9.23515,17.41778,29.672424,15.146618,5.4925084,12.897359,9.120128,10.665612,-1.8375908,8.505298,2.2307057,8.010442,-5.0651464,8.154927,2.79263,8.186563,1.4626971,6.8974977,0.01777864,6.982662,-4.794804,6.363838
